Date,USD por 1 JPY
22/11/21,0.00871156
23/11/21,0.008685004
24/11/21,0.008664911
25/11/21,0.008690438
26/11/21,0.008793605
29/11/21,0.008787037
30/11/21,0.008826203
01/12/21,0.008858808
02/12/21,0.008847835
03/12/21,0.00884627
06/12/21,0.008813834
07/12/21,0.008808632
08/12/21,0.008796313
09/12/21,0.008814611
10/12/21,0.008810495
13/12/21,0.008804599
14/12/21,0.00879175
15/12/21,0.008761477
16/12/21,0.008797938
17/12/21,0.008809176
20/12/21,0.008798015
21/12/21,0.008772391
22/12/21,0.008762629
23/12/21,0.008736829
24/12/21,0.008746381
27/12/21,0.008711408
28/12/21,0.00871285
29/12/21,0.008699586
30/12/21,0.008690891
31/12/21,0.008684928
03/01/22,0.008670921
04/01/22,0.008607778
05/01/22,0.008611188
06/01/22,0.008630734
07/01/22,0.008649173
10/01/22,0.008674682
11/01/22,0.008670696
12/01/22,0.008720296
13/01/22,0.00876286
14/01/22,0.008748447
17/01/22,0.008728212
18/01/22,0.008729507
19/01/22,0.00874531
20/01/22,0.008772469
21/01/22,0.008788504
24/01/22,0.008771083
25/01/22,0.008781559
26/01/22,0.0087168
27/01/22,0.008669117
28/01/22,0.008675886
31/01/22,0.008686512
01/02/22,0.00871566
02/02/22,0.008742634
03/02/22,0.008698905
04/02/22,0.008678748
07/02/22,0.008690891
08/02/22,0.008655686
09/02/22,0.00865037
10/02/22,0.008617198
11/02/22,0.008651717
14/02/22,0.008655311
15/02/22,0.008647901
16/02/22,0.008666487
17/02/22,0.008705797
18/02/22,0.008698602
21/02/22,0.008725318
22/02/22,0.008688399
23/02/22,0.008703371
24/02/22,0.00865269
25/02/22,0.008651642
28/02/22,0.008689758
01/03/22,0.008708298
02/03/22,0.008656585
03/03/22,0.008659958
04/03/22,0.008699435
07/03/22,0.008667539
08/03/22,0.008641399
09/03/22,0.008627458
10/03/22,0.008607407
11/03/22,0.008508538
14/03/22,0.008458949
15/03/22,0.008453657
16/03/22,0.008412551
17/03/22,0.008439816
18/03/22,0.00838483
21/03/22,0.008361623
22/03/22,0.008241306
23/03/22,0.008255798
24/03/22,0.008173541
25/03/22,0.008178621
28/03/22,0.008086689
29/03/22,0.008121827
30/03/22,0.00819531
31/03/22,0.008213148
01/04/22,0.008155942
04/04/22,0.008142726
05/04/22,0.008086951
06/04/22,0.008082572
07/04/22,0.008058277
08/04/22,0.008039554
11/04/22,0.007969906
12/04/22,0.007973464
13/04/22,0.007975945
14/04/22,0.007925249
15/04/22,0.007897771
18/04/22,0.007867944
19/04/22,0.007731979
20/04/22,0.007811707
21/04/22,0.007787676
22/04/22,0.007775748
25/04/22,0.007828156
26/04/22,0.007857558
27/04/22,0.007788526
28/04/22,0.007644617
29/04/22,0.007691657
02/05/22,0.007685686
03/05/22,0.00768545
04/05/22,0.00773856
05/05/22,0.00767283
06/05/22,0.007648242
09/05/22,0.007670065
10/05/22,0.007671595
11/05/22,0.007702083
12/05/22,0.007776776
13/05/22,0.007726064
16/05/22,0.007756568
17/05/22,0.007724752
18/05/22,0.007817752
19/05/22,0.007822767
20/05/22,0.007818425
23/05/22,0.007821911
24/05/22,0.007888364
25/05/22,0.007864603
26/05/22,0.007871227
27/05/22,0.007856385
30/05/22,0.007825706
31/05/22,0.007767835
01/06/22,0.007685096
02/06/22,0.007697163
03/06/22,0.0076507
06/06/22,0.00756567
07/06/22,0.007527456
08/06/22,0.007438816
09/06/22,0.00743948
10/06/22,0.007417628
13/06/22,0.007450177
14/06/22,0.00739131
15/06/22,0.007456287
16/06/22,0.007551672
17/06/22,0.007392294
20/06/22,0.007402637
21/06/22,0.007338426
22/06/22,0.007351644
23/06/22,0.007416197
24/06/22,0.007404007
27/06/22,0.007383616
28/06/22,0.007350401
29/06/22,0.007321234
30/06/22,0.00736453
01/07/22,0.007405049
04/07/22,0.007361602
05/07/22,0.00737893
06/07/22,0.00735478
07/07/22,0.007357648
08/07/22,0.007336704
11/07/22,0.007278656
12/07/22,0.007313898
13/07/22,0.007265963
14/07/22,0.007195953
15/07/22,0.007229926
18/07/22,0.007234372
19/07/22,0.007236362
20/07/22,0.007225694
21/07/22,0.007294052
22/07/22,0.007336111
25/07/22,0.007329712
26/07/22,0.007300869
27/07/22,0.007346945
28/07/22,0.007440642
29/07/22,0.007495859
01/08/22,0.007600401
02/08/22,0.007497432
03/08/22,0.007464803
04/08/22,0.007540284
05/08/22,0.007404281
08/08/22,0.007416197
09/08/22,0.007397161
10/08/22,0.00752842
11/08/22,0.007519136
12/08/22,0.007502551
15/08/22,0.007510721
16/08/22,0.007447292
17/08/22,0.007410481
18/08/22,0.007364041
19/08/22,0.007297086
22/08/22,0.007270295
23/08/22,0.007313523
24/08/22,0.007294957
25/08/22,0.007322627
26/08/22,0.007271669
29/08/22,0.007215216
30/08/22,0.007208039
31/08/22,0.007178957
01/09/22,0.007138727
02/09/22,0.007118096
05/09/22,0.007120986
06/09/22,0.006985631
07/09/22,0.006938277
08/09/22,0.006951396
09/09/22,0.00701282
12/09/22,0.00701336
13/09/22,0.006925016
14/09/22,0.006996774
15/09/22,0.006975203
16/09/22,0.007004518
19/09/22,0.006982118
20/09/22,0.006963691
21/09/22,0.006929239
22/09/22,0.007028395
23/09/22,0.006968107
26/09/22,0.006922379
27/09/22,0.00691128
28/09/22,0.006925304
29/09/22,0.006923721
30/09/22,0.006905315
03/10/22,0.006919506
04/10/22,0.006954732
05/10/22,0.006922858
06/10/22,0.006894697
07/10/22,0.006873703
10/10/22,0.006864643
11/10/22,0.006855419
12/10/22,0.006814914
13/10/22,0.006789189
14/10/22,0.006728026
17/10/22,0.006712716
18/10/22,0.006702009
19/10/22,0.006674632
20/10/22,0.006658854
21/10/22,0.00676503
24/10/22,0.006716503
25/10/22,0.00675767
26/10/22,0.006843034
27/10/22,0.006836485
28/10/22,0.006765351
31/10/22,0.006723277
01/11/22,0.00676064
02/11/22,0.006761691
03/11/22,0.006738862
04/11/22,0.006810087
07/11/22,0.006820166
08/11/22,0.006882549
09/11/22,0.006839524
10/11/22,0.00705547
11/11/22,0.007165737
14/11/22,0.007136994
15/11/22,0.007196057
16/11/22,0.007177617
17/11/22,0.007121898
18/11/22,0.007129972
21/11/22,0.007037396
22/11/22,0.007084411
23/11/22,0.007179885
24/11/22,0.007214851
25/11/22,0.007189072
28/11/22,0.007208818
29/11/22,0.007207467
30/11/22,0.007280193
01/12/22,0.007399186
02/12/22,0.007436326
05/12/22,0.007317859
06/12/22,0.007305349
07/12/22,0.0073324
08/12/22,0.007319894
09/12/22,0.007314647
12/12/22,0.007272516
13/12/22,0.007375502
14/12/22,0.007388361
15/12/22,0.007259475
16/12/22,0.007315824
19/12/22,0.007299537
20/12/22,0.007581961
21/12/22,0.007554582
22/12/22,0.007555324
23/12/22,0.007530688
26/12/22,0.007532162
27/12/22,0.007491423
28/12/22,0.007460794
29/12/22,0.007523549
30/12/22,0.007642631
02/01/23,0.00764561
03/01/23,0.007619164
04/01/23,0.007561665
05/01/23,0.007501481
06/01/23,0.007583686
09/01/23,0.007591343
10/01/23,0.007569966
11/01/23,0.007581387
12/01/23,0.007741616
13/01/23,0.007810913
16/01/23,0.007792957
17/01/23,0.007795386
18/01/23,0.00777974
19/01/23,0.007789982
20/01/23,0.007730723
23/01/23,0.007657144
24/01/23,0.007678192
25/01/23,0.007737722
26/01/23,0.00770416
27/01/23,0.007700956
30/01/23,0.007664068
31/01/23,0.007685804
01/02/23,0.00777472
02/02/23,0.007767231
03/02/23,0.007575241
06/02/23,0.00754017
07/02/23,0.007631141
08/02/23,0.007611103
09/02/23,0.007603464
10/02/23,0.007601615
13/02/23,0.007556465
14/02/23,0.007519306
15/02/23,0.007468093
16/02/23,0.007458567
17/02/23,0.007445628
20/02/23,0.007444021
21/02/23,0.007408725
22/02/23,0.00741114
23/02/23,0.007427875
24/02/23,0.007331647
27/02/23,0.007335842
28/02/23,0.007334174
01/03/23,0.007342467
02/03/23,0.007315021
03/03/23,0.007360518
06/03/23,0.007352996
07/03/23,0.007278497
08/03/23,0.007287249
09/03/23,0.007331647
10/03/23,0.007408505
13/03/23,0.007512358
14/03/23,0.007440642
15/03/23,0.007522813
16/03/23,0.007498051
17/03/23,0.007559493
20/03/23,0.007610814
21/03/23,0.007555837
22/03/23,0.007623171
23/03/23,0.007641462
24/03/23,0.007642573
27/03/23,0.007620034
28/03/23,0.007630908
29/03/23,0.007542843
30/03/23,0.007507451
31/03/23,0.007499231
03/04/23,0.007558636
04/04/23,0.00760543
05/04/23,0.007637435
06/04/23,0.007594802
07/04/23,0.007570195
10/04/23,0.007492377
11/04/23,0.007485366
12/04/23,0.007513994
13/04/23,0.00754791
14/04/23,0.007464302
17/04/23,0.007439092
18/04/23,0.007460237
19/04/23,0.007423685
20/04/23,0.007462909
21/04/23,0.007464859
24/04/23,0.007458011
25/04/23,0.007478816
26/04/23,0.007492601
27/04/23,0.00747373
28/04/23,0.007332131
01/05/23,0.007271617
02/05/23,0.007327832
03/05/23,0.007432512
04/05/23,0.007452731
05/05/23,0.007396504
08/05/23,0.007403404
09/05/23,0.007391639
10/05/23,0.007457844
11/05/23,0.007435055
12/05/23,0.007362577
15/05/23,0.007350509
16/05/23,0.007329767
17/05/23,0.007266703
18/05/23,0.007213966
19/05/23,0.007262586
22/05/23,0.007211261
23/05/23,0.007215111
24/05/23,0.007179627
25/05/23,0.00714199
26/05/23,0.007098693
29/05/23,0.007120428
30/05/23,0.007153485
31/05/23,0.007187678
01/06/23,0.007207311
02/06/23,0.007132311
05/06/23,0.007174476
06/06/23,0.007167072
07/06/23,0.007148014
08/06/23,0.007201342
09/06/23,0.007175094
12/06/23,0.007170514
13/06/23,0.007133838
14/06/23,0.007144031
15/06/23,0.00712921
16/06/23,0.007048855
19/06/23,0.007047266
20/06/23,0.007075388
21/06/23,0.007057761
22/06/23,0.00699154
23/06/23,0.006966651
26/06/23,0.006970584
27/06/23,0.00695014
28/06/23,0.006925735
29/06/23,0.006907031
30/06/23,0.006925304
03/07/23,0.006916395
04/07/23,0.00692492
05/07/23,0.006920942
06/07/23,0.006946808
07/07/23,0.007031904
10/07/23,0.007077291
11/07/23,0.007136842
12/07/23,0.007229874
13/07/23,0.007242441
14/07/23,0.007210741
17/07/23,0.007208298
18/07/23,0.007192848
19/07/23,0.007163426
20/07/23,0.007149803
21/07/23,0.007054674
24/07/23,0.007066039
25/07/23,0.007096578
26/07/23,0.007124181
27/07/23,0.007201291
28/07/23,0.007104392
31/07/23,0.007026271
01/08/23,0.006994474
02/08/23,0.006976225
03/08/23,0.007012721
04/08/23,0.007048408
07/08/23,0.007016362
08/08/23,0.006979439
09/08/23,0.006957635
10/08/23,0.006903503
11/08/23,0.006905267
14/08/23,0.00687583
15/08/23,0.006867754
16/08/23,0.006833729
17/08/23,0.006862758
18/08/23,0.006882076
21/08/23,0.006838168
22/08/23,0.006860452
23/08/23,0.00691214
24/08/23,0.006846173
25/08/23,0.006824494
28/08/23,0.006827616
29/08/23,0.006849878
30/08/23,0.006844674
31/08/23,0.006874128
01/09/23,0.006846642
04/09/23,0.006823936
05/09/23,0.006780995
06/09/23,0.006770068
07/09/23,0.006787438
08/09/23,0.006797495
11/09/23,0.006817655
12/09/23,0.006795417
13/09/23,0.006786747
14/09/23,0.006780489
15/09/23,0.006762789
18/09/23,0.006774838
19/09/23,0.006768556
20/09/23,0.006742134
21/09/23,0.006773049
22/09/23,0.006737001
25/09/23,0.006719933
26/09/23,0.006709383
27/09/23,0.006689053
28/09/23,0.006696264
29/09/23,0.006687174
02/10/23,0.006673296
03/10/23,0.006702772
04/10/23,0.006712941
05/10/23,0.006735685
06/10/23,0.00670421
09/10/23,0.006741861
10/10/23,0.006728207
11/10/23,0.006709788
12/10/23,0.006676013
13/10/23,0.006686012
16/10/23,0.006685475
17/10/23,0.006677395
18/10/23,0.006678153
19/10/23,0.006675478
20/10/23,0.006672004
23/10/23,0.006676949
24/10/23,0.006673162
25/10/23,0.006662314
26/10/23,0.00665044
27/10/23,0.006678554
30/10/23,0.006706414
31/10/23,0.006609647
01/11/23,0.006641209
02/11/23,0.006644651
03/11/23,0.006691246
06/11/23,0.006667156
07/11/23,0.006649113
08/11/23,0.006628487
09/11/23,0.006607246
